Library_Corner,synth_TNS,synth_WNS,synth_Worst_Setup_Slack,synth_Worst_Hold_Slack,placement_TNS,placement_WNS,placement_Worst_Setup_Slack,placement_Worst_Hold_Slack,cts_TNS,cts_WNS,cts_Worst_Setup_Slack,cts_Worst_Hold_Slack,route_TNS,route_WNS,route_Worst_Setup_Slack,route_Worst_Hold_Slack
sky130_fd_sc_hd__tt_025C_1v80.lib,0.0,0.0,7.59,0.3096,0.0,0.0,7.3267,0.3095,0.0,0.0,7.3267,0.3095,0.0,0.0,7.3267,0.3095
sky130_fd_sc_hd__tt_100C_1v80.lib,0.0,0.0,7.6117,0.3145,0.0,0.0,7.4249,0.3144,0.0,0.0,7.4249,0.3144,0.0,0.0,7.4249,0.3144
sky130_fd_sc_hd__ff_100C_1v65.lib,0.0,0.0,8.3074,0.2491,0.0,0.0,8.2112,0.2479,0.0,0.0,8.2112,0.2479,0.0,0.0,8.2112,0.2479
sky130_fd_sc_hd__ff_100C_1v95.lib,0.0,0.0,8.8916,0.196,0.0,0.0,8.8288,0.196,0.0,0.0,8.8288,0.196,0.0,0.0,8.8288,0.196
sky130_fd_sc_hd__ff_n40C_1v56.lib,0.0,0.0,7.6367,0.2915,0.0,0.0,7.3113,0.2915,0.0,0.0,7.3113,0.2915,0.0,0.0,7.3113,0.2915
sky130_fd_sc_hd__ff_n40C_1v65.lib,0.0,0.0,8.0708,0.2551,0.0,0.0,7.8306,0.255,0.0,0.0,7.8306,0.255,0.0,0.0,7.8306,0.255
sky130_fd_sc_hd__ff_n40C_1v76.lib,0.0,0.0,8.4561,0.2243,0.0,0.0,8.2796,0.2231,0.0,0.0,8.2796,0.2231,0.0,0.0,8.2796,0.2231
sky130_fd_sc_hd__ff_n40C_1v95.lib,0.0,0.0,8.8982,0.1875,0.0,0.0,8.7937,0.1875,0.0,0.0,8.7937,0.1875,0.0,0.0,8.7937,0.1875
sky130_fd_sc_hd__ss_100C_1v40.lib,0.0,0.0,0.3756,0.9053,0.0,0.0,0.3615,0.8866,0.0,0.0,0.3615,0.8866,0.0,0.0,0.3615,0.8866
sky130_fd_sc_hd__ss_100C_1v60.lib,0.0,0.0,3.8815,0.642,0.0,0.0,3.7548,0.6266,0.0,0.0,3.7548,0.6266,0.0,0.0,3.7548,0.6266
sky130_fd_sc_hd__ss_n40C_1v28.lib,-6557.5127,-17.0218,-17.0218,1.8296,-7684.1899,-18.9049,-18.9049,1.7859,-7684.1899,-18.9049,-18.9049,1.7859,-7684.1899,-18.9049,-18.9049,1.7859
sky130_fd_sc_hd__ss_n40C_1v35.lib,-2278.1023,-8.1831,-8.1831,1.3475,-3015.291,-9.4415,-9.4415,1.3166,-3015.291,-9.4415,-9.4415,1.3166,-3015.291,-9.4415,-9.4415,1.3166
sky130_fd_sc_hd__ss_n40C_1v40.lib,-920.1541,-4.3503,-4.3503,1.1249,-1525.2616,-5.4068,-5.4068,1.0986,-1525.2616,-5.4068,-5.4068,1.0986,-1525.2616,-5.4068,-5.4068,1.0986
sky130_fd_sc_hd__ss_n40C_1v44.lib,-246.7039,-2.1237,-2.1237,0.9909,-666.312,-3.0561,-3.0561,0.965,-666.312,-3.0561,-3.0561,0.965,-666.312,-3.0561,-3.0561,0.965
sky130_fd_sc_hd__ss_n40C_1v60.lib,0.0,0.0,2.9182,0.6628,0.0,0.0,2.2365,0.6441,0.0,0.0,2.2365,0.6441,0.0,0.0,2.2365,0.6441
sky130_fd_sc_hd__ss_n40C_1v76.lib,0.0,0.0,5.2666,0.5038,0.0,0.0,4.7458,0.488,0.0,0.0,4.7458,0.488,0.0,0.0,4.7458,0.488
